N,ratio
2030,1.6187130990620928
2040,1.7600964192210502
2050,1.6051406285754082
2060,1.7197269794261811
2070,2.0507638964134793
2080,1.715828163258774
2090,1.5718661975170478
2100,1.9430101462801133
2110,1.9047057522939161
2120,1.7282429915270507
2130,1.8560975609756099
2140,1.5757650924101523
2150,1.6558818555887491
2160,2.248836511034379
2170,1.7570054130563684
2180,1.5590597121949699
2190,1.9855683088655305
2200,1.8844331649575958
2210,1.7116486165749367
2220,1.7135426302225625
2230,1.7942828091419591
2240,1.8497175567835924
2250,1.8894844240091246
2260,1.6613087161729083
2270,1.9675340143845343
2280,1.8652025404763846
2290,1.7846379881778112
2300,1.7326557439361425
2310,1.7453509372345601
2320,1.6671208028394635
2330,1.4962393376488115
2340,1.5711757924870093
2350,1.40777479114163
2360,1.5751358170103182
2370,1.5409612778058308
2380,1.5936605736499339
2390,1.6020522256032836
2400,1.5493758472754249
2410,1.4984258088312783
2420,1.6173688448725787
2430,1.590058949359095
2440,2.2393625896879694
2450,2.131656045184089
2460,1.8335457897851806
2470,1.6742837035948908
2480,1.8915655844816093
2490,1.5585885574080565
2500,2.0645575566550236
2510,1.6910321417653198
2520,1.7913224586367196
2530,1.7491592078824933
2540,2.0243545276610444
2550,1.6656056859350403
2560,2.0361671140556283
2570,1.7328751107407858
2580,1.867689541855701
2590,1.497915770763453
2600,1.6811158848941243
2610,1.6231770817976494
2620,1.7031889399836313
2630,1.698247596790826
2640,1.7725260837978254
2650,2.0069120310148696
2660,1.9077228425740658
2670,1.8755374672111198
2680,2.1658898312663433
2690,1.8129367752063605
2700,1.7994247467112283
2710,1.9499216690995453
2720,1.7392015592913577
2730,2.0282207118522195
2740,2.1546562618694107
2750,1.8358059723342688
2760,2.099959334959935
2770,1.9615312356260406
2780,1.856777730232343
2790,1.9528382204446908
2800,2.194882754565784
2810,1.7322670794101207
2820,2.0837834699174844
2830,1.8269437424278958
2840,1.6742722406778014
2850,1.6624924763370814
2860,2.224221218536224
2870,1.9641323604480077
2880,2.1626092589636947
2890,2.0029547919881443
2900,2.000344947550283
2910,1.9503403348810862
2920,2.239560815349479
2930,1.846457680074151
2940,1.9728954912692207
2950,1.7356988194050627
2960,1.8642381715911962
2970,1.7628386092371562
2980,2.0475403323267036
2990,1.9500274779816487
3000,2.085852114696766
3010,1.9722781822690707
3020,2.1205572644199466
3030,2.001479310240724
3040,2.014125800981516
3050,1.9602795519254235
3060,2.1219458339580464
3070,1.9779976859729123
3080,2.2460736909179504
3090,1.6357454598220764
3100,2.043618574654327
3110,1.6949686603103842
3120,1.8529232578653336
3130,1.757398646941336
3140,1.9561803661623882
3150,2.05933242523352
3160,2.0066294955554262
3170,2.1154584776639087
3180,2.190979225494151
3190,2.3242526843836413
3200,2.0718694874391366
3210,2.19710570025091
3220,2.0370864352436073
3230,2.0920368830551763
3240,2.03900176625374
3250,2.2274787577055384
3260,2.125937045911641
3270,2.2143528636723193
3280,2.1409902562459044
3290,2.1966439495904044
3300,2.080531032163455
3310,2.170582703477179
3320,2.1122211129888666
3330,2.1878925483032523
3340,1.5589295986920233
3350,1.510007852083804
3360,1.3995511578997397
3370,1.5654176722408906
3380,1.5195259656772317
3390,1.7615786331904733
3400,2.0087651859398665
3410,2.0901735623751714
3420,2.0422150859561183
3430,1.9138496129580742
3440,1.95282297488026
3450,1.6403157263573842
3460,1.4975017413021767
3470,1.8983094903984705
3480,2.093613226428199
3490,2.1526273262395774
3500,1.9889126229473897
3510,1.8783553881964365
3520,2.0566911336271456
3530,2.0701593694855704
3540,2.0785230147883893
3550,2.0415799162919632
3560,2.001549895215673
3570,1.962441734734135
3580,1.9453775218347078
3590,2.057326431799144
3600,2.0188739901328465
3610,2.107742146559729
3620,2.024274669093708
3630,2.081033410975217
3640,1.995842007034671
3650,2.096990078718152
3660,2.0576503697790116
3670,2.1226792279831455
3680,2.043304184614942
3690,2.0408576707400083
3700,2.0400957360604037
3710,2.0643274431371843
3720,2.096021690352883
3730,2.112383144329247
3740,2.055623035978823
3750,1.793429566191285
3760,1.5162206961875444
3770,1.9534765124383167
3780,2.041601122545705
3790,2.0974533374131226
3800,2.466196567800284
3810,2.075692045955336
3820,2.0051495342321894
3830,2.0597709060183167
3840,2.121253723783564
3850,2.1734642476415846
3860,2.1445988129625158
3870,2.045519528603353
3880,1.9866738614561243
3890,2.0246294780869247
3900,2.0422362264621117
3910,2.0927548192741607
3920,2.085544945027047
3930,2.0623104008886033
3940,2.0970034074806603
3950,2.112609900231608
3960,1.6557516796179375
3970,2.105148081251742
3980,2.077980759422655
3990,2.051667718888104
4000,2.143558998765686
4010,2.2375684713428883
4020,2.2477700841583994
4030,2.455556879449525
4040,2.582409357892291
