N,Norme,iterations,durree
1270,2.4640581517120097,19,0.03433728218078613
1280,2.464728594748663,19,0.03863406181335449
1290,2.4653928611864826,19,0.03708815574645996
1300,2.466051055569383,19,0.04349374771118164
1310,2.4667032798897646,19,0.04130363464355469
1320,2.4673496336425313,19,0.03652453422546387
1330,2.467990213939329,19,0.03678441047668457
1340,2.4686251155721104,19,0.04055905342102051
1350,2.4692544310573457,19,0.03739476203918457
1360,2.469878250747672,19,0.04452252388000488
1370,2.4704966628738685,19,0.04655790328979492
1380,2.4711097536186584,19,0.04052877426147461
1390,2.4717176071647105,19,0.04188895225524902
1400,2.4723203057817207,19,0.0502011775970459
1410,2.4729179298944626,20,0.04819512367248535
1420,2.473510557998978,19,0.04243946075439453
1430,2.474098266977461,19,0.044228553771972656
1440,2.474681131922541,19,0.042470455169677734
1450,2.475259226295782,20,0.053862571716308594
1460,2.4758326218766413,20,0.05107545852661133
1470,2.4764013889303125,19,0.04615306854248047
1480,2.4769655962517976,19,0.04970407485961914
1490,2.4775253111013864,20,0.04843735694885254
1500,2.478080599253966,20,0.053621768951416016
1510,2.4786315251611004,20,0.05855965614318848
1520,2.4791781518953973,20,0.050685882568359375
1530,2.479720541203439,20,0.05357551574707031
1540,2.4802587535480782,20,0.0635230541229248
1550,2.480792848141273,20,0.05286002159118652
1560,2.4813228829803746,20,0.05878448486328125
1570,2.4818489148774634,20,0.0628046989440918
1580,2.4823709994887464,20,0.0739755630493164
1590,2.4828891913602273,20,0.05716204643249512
1600,2.4834035439282,20,0.05957984924316406
1610,2.483914109582838,20,0.07826590538024902
1620,2.484420939669442,20,0.06810164451599121
1630,2.4849240845170213,20,0.07211470603942871
1640,2.4854235934888376,20,0.0618748664855957
1650,2.4859195149718567,20,0.07193160057067871
1660,2.486411896435477,20,0.06684494018554688
1670,2.4869007844216773,20,0.061321258544921875
1680,2.487386224600952,20,0.07198119163513184
1690,2.487868261768755,20,0.06745362281799316
1700,2.4883469398729057,20,0.06486892700195312
1710,2.48882230205288,20,0.07282233238220215
1720,2.4892943906292855,20,0.07114815711975098
1730,2.489763247146694,20,0.06459975242614746
1740,2.4902289123832984,20,0.09101152420043945
1750,2.490691426373508,20,0.09072613716125488
1760,2.491150828421281,20,0.08498167991638184
1770,2.4916071571167198,20,0.061491966247558594
1780,2.492060450359592,20,0.0649104118347168
1790,2.492510745372744,20,0.0633704662322998
1800,2.4929580787104753,20,0.07153558731079102
1810,2.493402486284684,20,0.06805658340454102
1820,2.4938440033809166,20,0.06951117515563965
1830,2.494282664655989,20,0.07534360885620117
1840,2.4947185041702755,20,0.07480072975158691
1850,2.4951515553966717,20,0.0684669017791748
1860,2.4955818512221795,20,0.0740041732788086
1870,2.496009423985404,20,0.07591772079467773
1880,2.4964343054624947,20,0.0691535472869873
1890,2.49685652689859,20,0.07304739952087402
1900,2.497276119006271,20,0.07922124862670898
1910,2.497693111986613,20,0.07168173789978027
1920,2.4981075355367333,20,0.07221674919128418
1930,2.4985194188660715,20,0.06827783584594727
1940,2.4989287906880975,20,0.06531429290771484
1950,2.4993356792635764,20,0.07096242904663086
1960,2.4997401123759713,20,0.07165145874023438
1970,2.5001421173697573,20,0.06862616539001465
1980,2.5005417211372416,20,0.07369518280029297
1990,2.5009389501468573,20,0.07671594619750977
2000,2.5013338304365,20,0.07054829597473145
2010,2.501726387630709,20,0.0802619457244873
2020,2.5021166469569307,20,0.07290792465209961
2030,2.502504633225338,20,0.07196807861328125
2040,2.502890370883982,20,0.08286666870117188
2050,2.5032738839761706,20,0.07693171501159668
2060,2.503655196180489,20,0.07586956024169922
2070,2.5040343308337034,21,0.09024858474731445
2080,2.5044113108218196,20,0.07668590545654297
2090,2.504786158815597,20,0.07902908325195312
2100,2.5051588970455363,20,0.09282088279724121
2110,2.505529547469246,21,0.08626365661621094
2120,2.505898131589004,20,0.07941389083862305
2130,2.506264670752681,20,0.09271407127380371
2140,2.506629185880758,20,0.08027291297912598
2150,2.5069916976099367,20,0.08404827117919922
2160,2.507352226268025,20,0.10714173316955566
2170,2.50771079191436,21,0.08760261535644531
2180,2.508067414206315,20,0.08345866203308105
2190,2.508422112698599,21,0.09696435928344727
2200,2.5087749064780125,21,0.09170198440551758
2210,2.5091258144286837,20,0.08734488487243652
2220,2.509474855226114,20,0.09495663642883301
2230,2.509822047218055,21,0.0925588607788086
2240,2.5101674084364918,21,0.09344983100891113
2250,2.5105109567390542,21,0.10111117362976074
2260,2.5108527097031486,21,0.09516620635986328
2270,2.5111926846608674,21,0.10239911079406738
2280,2.511530898698929,21,0.09816551208496094
2290,2.511867368663876,21,0.09962272644042969
2300,2.512202111172826,21,0.10433268547058105
2310,2.512535142611762,21,0.10091924667358398
2320,2.512866479132544,21,0.10123467445373535
2330,2.5131961366778075,21,0.10823369026184082
2340,2.513524130965739,21,0.10690975189208984
2350,2.513850477499031,21,0.10401439666748047
2360,2.514175191574,21,0.10776805877685547
2370,2.5144982882810947,21,0.11059141159057617
2380,2.5148197825049614,21,0.10927486419677734
2390,2.5151396889328677,21,0.10794925689697266
2400,2.5154580220585876,21,0.11253881454467773
2410,2.515774796175869,21,0.10847902297973633
2420,2.5160900253979097,21,0.11540675163269043
2430,2.516403723646266,21,0.11466360092163086
2440,2.516715904669112,21,0.13438725471496582
2450,2.517026582027823,21,0.1346149444580078
2460,2.5173357691036577,21,0.1344301700592041
2470,2.5176434791168756,21,0.11684846878051758
2480,2.5179497251054244,21,0.11975574493408203
2490,2.5182545199483544,21,0.11237597465515137
2500,2.51855787635571,21,0.12993168830871582
2510,2.51885980687196,21,0.11473631858825684
2520,2.5191603238913207,21,0.12816166877746582
2530,2.519459439650919,21,0.11643576622009277
