N,Norme,durree
1380,2.47110975364683,0.04052877426147461
1390,2.471717607197008,0.04188895225524902
1400,2.472320305818967,0.0502011775970459
1410,2.472917929905151,0.04819512367248535
1420,2.4735105580324483,0.04243946075439453
1430,2.4740982670157043,0.044228553771972656
1440,2.4746811319592483,0.042470455169677734
1450,2.4752592263065862,0.053862571716308594
1460,2.4758326218883724,0.05107545852661133
1470,2.476401388968582,0.04615306854248047
1480,2.4769655962891033,0.04970407485961914
1490,2.4775253111128297,0.04843735694885254
1500,2.4780805992650965,0.053621768951416016
1510,2.4786315251738564,0.05855965614318848
1520,2.4791781519083576,0.050685882568359375
1530,2.479720541216584,0.05357551574707031
1540,2.480258753561346,0.0635230541229248
1550,2.4807928481552155,0.05286002159118652
1560,2.4813228829942933,0.05878448486328125
1570,2.4818489148908163,0.0628046989440918
